City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Guhagar,IN,73.58,overcast clouds,17.4842,73.1929,Hotel Seawinds
4,Castro,BR,70.0,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
5,Butaritari,KI,82.47,broken clouds,3.0707,172.7902,Isles Sunset Lodge
10,Mangrol,IN,70.86,clear sky,21.1167,70.1167,Hotel The Royal Honours
14,Saint George,US,73.87,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Hithadhoo,MV,81.34,clear sky,-0.6,73.0833,Scoop Guest House
17,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
20,Camopi,GF,74.53,overcast clouds,3.1655,-52.3158,La pousada
25,Bubaque,GW,82.09,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
32,Mathathane,BW,87.91,clear sky,-22.2687,28.7495,Selepswe Resort
33,Anloga,GH,84.42,overcast clouds,5.7947,0.8973,Pin Drop Hotel
34,Rikitea,PF,76.59,light rain,-23.1203,-134.9692,People ThankYou
36,Banda Aceh,ID,76.48,light rain,5.5577,95.3222,Sulthan Hotel International
37,Vila Do Maio,CV,74.19,broken clouds,15.1333,-23.2167,Hotel Marilu
52,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Bayshore Gardens,US,77.02,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
66,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
69,Vao,NC,76.35,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
70,Bambous Virieux,MU,77.25,few clouds,-20.3428,57.7575,Casa Tia Villa
76,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
77,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
79,Manokwari,ID,78.17,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
83,Kutum,SD,65.91,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
87,Vaini,TO,82.56,moderate rain,-21.2,-175.2,Keleti Beach Resort
88,Dulag,PH,74.79,overcast clouds,10.9525,125.0317,Motorcycle set cover costumize
89,Bandarbeyla,SO,76.6,clear sky,9.4942,50.8122,JABIR HOTEL
92,Kananga,CD,71.13,broken clouds,-5.8958,22.4178,Guest House Wood Land
93,Dakar,SN,73.53,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
94,Virden,US,70.5,few clouds,39.5009,-89.7679,Virden Nail Spa
97,Hilo,US,81.39,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
101,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
104,Samarai,PG,82.22,broken clouds,-10.6167,150.6667,Nuli Sapi
105,Tual,ID,83.43,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
106,Oussouye,SN,77.18,overcast clouds,12.485,-16.5469,Auberge du Routard
108,Santa Vitoria Do Palmar,BR,65.82,broken clouds,-33.5189,-53.3681,Hostel Comodoro
109,Paramonga,PE,68.9,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
110,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
117,Santa Cruz Del Norte,CU,77.72,scattered clouds,23.1539,-81.9236,Felipon Pon Pon
124,Faanui,PF,81.46,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
133,Mareeba,AU,78.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
136,Pilar,BR,80.53,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
137,Summerville,US,75.31,few clouds,33.0185,-80.1757,Sleep Inn Summerville-Charleston
138,Aswan,EG,67.3,clear sky,24.0934,32.907,Nuba Nile
140,Sabang,ID,79.3,heavy intensity rain,5.8933,95.3214,Hotel Citra
143,Ormara,PK,72.72,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
144,Marsh Harbour,BS,73.8,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
145,Belem De Sao Francisco,BR,86.92,overcast clouds,-8.7539,-38.9658,Village Hotel
147,Vila Velha,BR,73.35,mist,-20.3297,-40.2925,Quality Suites Vila Velha
148,Keti Bandar,PK,72.25,clear sky,24.1447,67.4497,Haji laloo memon house
150,Axim,GH,80.04,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
151,Havelock,US,66.16,clear sky,34.8791,-76.9013,Sherwood Motel
153,Hervey Bay,AU,77.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
156,Rocha,UY,65.46,broken clouds,-34.4833,-54.3333,Hotel Arrarte
160,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
161,Ugoofaaru,MV,81.54,scattered clouds,5.6667,73.0,Ungoofaaru Inn
163,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
166,Amarpur,IN,66.29,overcast clouds,25.0333,86.9,Amit kirana store
168,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
169,Belmonte,BR,75.7,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
171,Bongor,TD,80.78,broken clouds,10.2806,15.3722,Oryx Palace
172,Carnarvon,AU,69.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
174,Tabou,CI,79.84,broken clouds,4.423,-7.3528,hotêl doufoulougou
176,Rawson,AR,65.89,clear sky,-43.3002,-65.1023,Hosteria Sampedro
177,Atuona,PF,78.85,clear sky,-9.8,-139.0333,Villa Enata
178,Ajdabiya,LY,65.79,overcast clouds,30.7554,20.2263,Almadina Hotel
180,Chuy,UY,65.66,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
182,Kumo,NG,78.6,few clouds,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
183,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
184,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
189,Abu Dhabi,AE,77.02,scattered clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
191,Carutapera,BR,78.64,heavy intensity rain,-1.195,-46.02,Lidera
193,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
198,Meulaboh,ID,75.69,overcast clouds,4.1363,96.1285,Kost Pria
201,Kilindoni,TZ,79.88,light rain,-7.9139,39.6668,Bustani B&B
205,Veraval,IN,71.1,clear sky,20.9,70.3667,Lords Inn Somnath
206,Cosala,MX,89.83,clear sky,24.4125,-106.6908,Hotel Real del Conde
209,Bhayavadar,IN,67.95,clear sky,21.85,70.25,Ami pan
214,Praya,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
216,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
217,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Posada Villaven C.A.
220,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
221,Kuching,MY,77.22,light rain,1.55,110.3333,The Ranee Boutique Suites
222,Lorengau,PG,84.0,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
225,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
226,Ambilobe,MG,75.94,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
227,Kahului,US,79.84,light rain,20.8947,-156.47,Maui Seaside Hotel
229,Araguacu,BR,78.01,broken clouds,-12.9306,-49.8264,Hotel Tocantins
231,Labuhan,ID,78.85,heavy intensity rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
232,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
233,Gigmoto,PH,75.7,broken clouds,13.7796,124.39,Cj's Travellers Inn
234,Shakawe,BW,82.67,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
235,Okato,NZ,65.43,overcast clouds,-39.2,173.8833,Goodin Country Garden
236,Minab,IR,71.1,clear sky,27.1467,57.0801,Bam campground
238,Sao Joao Do Piaui,BR,81.95,moderate rain,-8.3581,-42.2467,Nayra Palace Hotel
240,Cartagena,CO,85.62,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
241,San Quintin,MX,65.23,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
246,Betioky,MG,75.83,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
252,Kavieng,PG,83.48,broken clouds,-2.5744,150.7967,Nusa Island Retreat
