City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2021-11-30 22:59:50,73.5069,80.5464,-14.42,100,100,8.68
1,Luanda,AO,2021-11-30 22:59:51,-8.8368,13.2343,78.8,83,20,8.05
2,Punta Arenas,CL,2021-11-30 22:59:52,-53.15,-70.9167,57.31,51,0,21.85
3,Hidalgo,MX,2021-11-30 22:59:43,20.5,-99.0,64.62,53,4,7.63
4,Tiksi,RU,2021-11-30 22:59:52,71.6872,128.8694,-22.59,98,99,6.67
5,Cameta,BR,2021-11-30 22:59:53,-2.2444,-49.4958,83.1,68,99,3.42
6,Mataura,NZ,2021-11-30 22:59:53,-46.1927,168.8643,60.48,69,98,5.97
7,Churapcha,RU,2021-11-30 22:59:53,62.0025,132.4325,-12.86,99,100,3.96
8,Tuatapere,NZ,2021-11-30 22:59:54,-46.1333,167.6833,60.82,58,61,4.59
9,Chokurdakh,RU,2021-11-30 22:59:55,70.6333,147.9167,-13.68,98,100,5.95
10,San Patricio,US,2021-11-30 22:59:55,28.017,-97.5169,74.53,68,89,8.55
11,Olafsvik,IS,2021-11-30 22:57:15,64.8945,-23.7142,31.57,59,97,18.92
12,Henties Bay,NA,2021-11-30 22:59:56,-22.116,14.2845,59.86,92,0,8.93
13,Butaritari,KI,2021-11-30 22:59:56,3.0707,172.7902,81.75,76,25,9.22
14,Qaqortoq,GL,2021-11-30 22:59:56,60.7167,-46.0333,29.3,95,100,17.07
15,Labuhan,ID,2021-11-30 22:59:57,-6.8844,112.2051,78.06,87,100,5.91
16,Rikitea,PF,2021-11-30 22:59:57,-23.1203,-134.9692,76.68,75,0,19.77
17,Upernavik,GL,2021-11-30 22:59:58,72.7868,-56.1549,23.16,96,99,5.08
18,Qaanaaq,GL,2021-11-30 22:59:58,77.484,-69.3632,0.7,71,36,6.4
19,Waddan,LY,2021-11-30 22:58:46,29.1614,16.139,52.65,54,70,5.53
